DATE,actor,region_location,Total,Lvl1_agree,Lvl1_disagree,Lvl1_Perc,Lvl2_agree,Lvl2_disagree,Lvl2_Perc,Lvl3_agree,Lvl3_disagree,Lvl3_Perc,Lvl4_agree,Lvl4_disagree,Lvl4_Perc
1/31/20,actor 1,region 1,5,4,1,0.8,5,0,1,5,0,1,4,1,0.8
1/31/20,actor 2,region 1,10,9,1,0.9,10,0,1,10,0,1,8,1,0.89
1/31/20,actor 3,region 1,5,4,1,0.8,5,0,1,4,1,0.8,4,1,0.8
1/31/20,actor 5,region 1,1,1,0,1,1,0,1,1,0,1,0,1,0
1/31/20,actor 6,region 1,1,1,0,1,1,0,1,1,0,1,1,0,1
1/31/20,actor 8,region 1,7,7,0,1,7,0,1,6,1,0.86,6,1,0.86
1/31/20,actor 9,region 1,1,0,1,0,1,0,1,1,0,1,0,1,0
1/31/20,actor 10,region 1,1,1,0,1,1,0,1,1,0,1,1,0,1
2/1/20,actor 4,region 1,1,1,0,1,1,0,1,1,0,1,1,0,1
2/1/20,actor 5,region 1,8,7,1,0.88,8,0,1,8,0,1,8,0,1
2/1/20,actor 6,region 1,7,7,0,1,7,0,1,7,0,1,7,0,1
2/3/20,actor 1,region 1,5,5,0,1,5,0,1,4,1,0.8,4,1,0.8
2/3/20,actor 2,region 1,12,12,0,1,12,0,1,11,1,0.92,6,6,0.5
2/3/20,actor 3,region 1,7,7,0,1,7,0,1,7,0,1,7,0,1
2/3/20,actor 4,region 1,1,1,0,1,1,0,1,1,0,1,1,0,1
2/3/20,actor 6,region 1,7,7,0,1,7,0,1,6,1,0.86,4,2,0.67
2/3/20,actor 7,region 1,5,3,2,0.6,5,0,1,5,0,1,4,1,0.8
2/3/20,actor 8,region 1,5,5,0,1,5,0,1,5,0,1,5,0,1
2/3/20,actor 10,region 1,7,7,0,1,7,0,1,6,1,0.86,3,4,0.43
